time [ns],x [m],y [m],z [m],a [rad],b [rad],c [rad],d [rad]
0,-0.477696,0.8638120000000001,2.868745,-0.100655,0.991302,0.079176,0.030329000000000002
12500000,-0.47658999999999996,0.8676709999999999,2.868226,-0.10505,0.989118,0.095188,0.039363
24999999,-0.475307,0.8722209999999999,2.867556,-0.126598,0.9834040000000001,0.120691,0.048206
37499999,-0.474915,0.874067,2.86731,-0.142369,0.9803620000000001,0.129216,0.04386
50000000,-0.47440200000000005,0.876967,2.867261,-0.143851,0.9816459999999999,0.11814000000000001,0.041483
62500000,-0.474066,0.878891,2.8672720000000003,-0.139595,0.983959,0.103657,0.039925999999999996
75000000,-0.473778,0.881584,2.867198,-0.134204,0.9852139999999999,0.09902000000000001,0.039207
87499999,-0.47345699999999996,0.883943,2.867193,-0.13079200000000002,0.9854219999999999,0.101381,0.039484
99999999,-0.473358,0.885605,2.8673490000000004,-0.121644,0.987597,0.092026,0.037235000000000004
112500000,-0.473192,0.8870030000000001,2.86742,-0.115477,0.989276,0.082375,0.034825999999999996
125000000,-0.472872,0.887758,2.867326,-0.119315,0.9891129999999999,0.079445,0.033280000000000004
137500000,-0.47271499999999994,0.8895959999999999,2.867517,-0.110419,0.991132,0.06655,0.032195999999999995
149999999,-0.47235900000000003,0.8911370000000001,2.867469,-0.11093,0.991186,0.064867,0.032194
162499999,-0.472092,0.8927579999999999,2.867451,-0.107485,0.9914780000000001,0.065791,0.033022
175000000,-0.47103100000000003,0.8973200000000001,2.866453,-0.12482599999999999,0.9857889999999999,0.10533800000000001,0.039287
187500000,-0.469929,0.8988780000000001,2.866323,-0.13247799999999998,0.9843040000000001,0.108299,0.043197
200000000,-0.469283,0.899805,2.8659950000000003,-0.139465,0.9827520000000001,0.11285,0.044875
212499999,-0.468916,0.901178,2.8659209999999997,-0.130613,0.9847090000000001,0.105894,0.045558
224999999,-0.46857200000000004,0.9021530000000001,2.865909,-0.124578,0.986439,0.097055,0.044704
237500000,-0.46843999999999997,0.903228,2.866022,-0.118433,0.988302,0.086048,0.042765
250000000,-0.468237,0.903626,2.865942,-0.119974,0.988492,0.082954,0.040101
262500000,-0.46798500000000004,0.904632,2.866058,-0.11116199999999998,0.99035,0.073904,0.037258
