Sequence,Obstacle x,Obstacle y,Obstacle z,Lux,OptiTrack initial y rotation offset,Incl. Video
1,-0.75949,1.9422,2.3165,100,-1.48352986419518,1
2,-0.75949,1.9422,2.3165,100,-1.48352986419518,1
3,-0.75949,1.9422,2.3165,100,-1.48352986419518,1
4,-0.75949,1.9422,2.3165,100,-1.48352986419518,1
5,-0.75949,1.9422,2.3165,100,-1.48352986419518,1
6,-0.75949,1.9422,2.3165,100,-1.48352986419518,1
7,-0.75949,1.9422,2.3165,100,-1.48352986419518,1
8,-0.70595,1.9822,-1.5893,100,-1.48352986419518,1
9,-0.70595,1.9822,-1.5893,100,-1.48352986419518,1
10,-0.70595,1.9822,-1.5893,100,-1.48352986419518,1
11,-0.70595,1.9822,-1.5893,100,-1.48352986419518,1
12,-0.70595,1.9822,-1.5893,100,-1.48352986419518,1
13,-0.70595,1.9822,-1.5893,100,-1.48352986419518,1
14,-0.70595,1.9822,-1.5893,100,-1.48352986419518,1
15,-0.70595,1.9822,-1.5893,100,-1.48352986419518,1
16,-0.70595,1.9822,-1.5893,100,-1.48352986419518,1
17,-0.70595,1.9822,-1.5893,100,-1.48352986419518,1
18,-0.70595,1.9822,-1.5893,100,-1.48352986419518,1
19,-0.70595,1.9822,-1.5893,100,-1.48352986419518,1
20,1.2808,1.8204,0.020112,100,-1.51843644923507,1
21,1.2808,1.8204,0.020112,100,-1.51843644923507,1
22,1.2808,1.8204,0.020112,100,-1.51843644923507,1
23,1.2808,1.8204,0.020112,100,-1.51843644923507,1
24,1.2808,1.8204,0.020112,100,-1.51843644923507,1
25,1.2808,1.8204,0.020112,100,-1.51843644923507,1
26,1.2808,1.8204,0.020112,100,-1.51843644923507,1
27,1.2808,1.8204,0.020112,100,-1.51843644923507,1
28,1.2808,1.8204,0.020112,100,-1.51843644923507,1
29,1.2808,1.8204,0.020112,100,-1.51843644923507,1
30,1.2808,1.8204,0.020112,100,-1.51843644923507,1
31,1.2808,1.8204,0.020112,100,-1.51843644923507,1
32,1.2808,1.8204,0.020112,100,-1.51843644923507,1
33,1.2808,1.8204,0.020112,100,-1.51843644923507,1
34,1.2808,1.8204,0.020112,100,-1.51843644923507,1
35,1.2808,1.8204,0.020112,100,-1.51843644923507,1
36,1.2808,1.8204,0.020112,100,-1.51843644923507,1
37,1.2808,1.8204,0.020112,100,-1.51843644923507,1
38,1.2808,1.8204,0.020112,100,-1.51843644923507,1
39,1.2808,1.8204,0.020112,100,-1.51843644923507,1
40,1.2808,1.8204,0.020112,100,-1.51843644923507,1
41,1.2808,1.8204,0.020112,100,-1.51843644923507,1
42,1.2808,1.8204,0.020112,100,-1.51843644923507,1
43,1.2808,1.8204,0.020112,100,-1.51843644923507,1
44,1.2808,1.8204,0.020112,100,-1.51843644923507,1
45,1.2808,1.8204,0.020112,100,-1.51843644923507,1
46,1.2808,1.8204,0.020112,100,-1.51843644923507,1
47,1.2808,1.8204,0.020112,100,-1.51843644923507,1
48,1.2808,1.8204,0.020112,100,-1.51843644923507,1
49,1.2808,1.8204,0.020112,100,-1.51843644923507,1
50,1.2808,1.8204,0.020112,100,-1.51843644923507,1
51,1.2808,1.8204,0.020112,100,-1.51843644923507,1
52,1.2808,1.8204,0.020112,100,-1.51843644923507,1
53,1.2808,1.8204,0.020112,100,-1.51843644923507,1
54,1.2808,1.8204,0.020112,100,-1.51843644923507,1
55,1.2808,1.8204,0.020112,100,-1.51843644923507,1
56,1.2808,1.8204,0.020112,100,-1.51843644923507,1
57,1.2808,1.8204,0.020112,100,-1.51843644923507,1
58,1.2808,1.8204,0.020112,100,-1.51843644923507,1
59,1.2808,1.8204,0.020112,100,-1.51843644923507,1
60,1.2808,1.8204,0.020112,100,-1.51843644923507,1
61,1.2808,1.8204,0.020112,100,-1.51843644923507,1
62,1.2808,1.8204,0.020112,100,-1.51843644923507,1
63,1.2808,1.8204,0.020112,100,-1.51843644923507,1
64,1.2808,1.8204,0.020112,100,-1.51843644923507,1
65,1.2808,1.8204,0.020112,100,-1.51843644923507,1
66,1.2808,1.8204,0.020112,100,-1.51843644923507,1
67,1.2808,1.8204,0.020112,100,-1.51843644923507,1
68,1.2808,1.8204,0.020112,1,-1.51843644923507,1
69,1.2808,1.8204,0.020112,1,-1.51843644923507,1
70,1.2808,1.8204,0.020112,1,-1.51843644923507,1
71,1.2808,1.8204,0.020112,1,-1.51843644923507,1
72,1.2808,1.8204,0.020112,1,-1.51843644923507,1
73,1.2808,1.8204,0.020112,1,-1.51843644923507,1
74,1.2808,1.8204,0.020112,1,-1.51843644923507,1
75,1.2808,1.8204,0.020112,1,-1.51843644923507,1
76,1.2808,1.8204,0.020112,1,-1.51843644923507,1
77,1.2808,1.8204,0.020112,1,-1.51843644923507,1
78,1.2808,1.8204,0.020112,1,-1.51843644923507,1
79,1.2808,1.8204,0.020112,1,-1.51843644923507,1
80,1.2808,1.8204,0.020112,1,-1.51843644923507,1
81,1.2808,1.8204,0.020112,1,-1.51843644923507,1
82,1.2808,1.8204,0.020112,1,-1.51843644923507,1
83,1.2808,1.8204,0.020112,1,-1.51843644923507,1
84,1.2808,1.8204,0.020112,1,-1.51843644923507,1
85,1.2808,1.8204,0.020112,1,-1.51843644923507,1
86,1.2808,1.8204,0.020112,1,-1.51843644923507,1
87,1.2808,1.8204,0.020112,1,-1.51843644923507,1
88,1.2808,1.8204,0.020112,1,-1.51843644923507,1
89,1.2808,1.8204,0.020112,1,-1.51843644923507,1
90,1.2808,1.8204,0.020112,1,-1.51843644923507,1
91,1.2808,1.8204,0.020112,1,-1.51843644923507,1
92,1.2808,1.8204,0.020112,1,-1.51843644923507,1
93,1.2808,1.8204,0.020112,1,-1.51843644923507,1
94,1.2808,1.8204,0.020112,1,-1.51843644923507,1
95,1.2808,1.8204,0.020112,1,-1.51843644923507,1
96,1.2808,1.8204,0.020112,1,-1.51843644923507,1
97,1.2808,1.8204,0.020112,1,-1.51843644923507,1
98,1.2808,1.8204,0.020112,1,-1.51843644923507,1
99,1.2808,1.8204,0.020112,1,-1.51843644923507,1
100,1.2808,1.8204,0.020112,1,-1.51843644923507,1
101,1.2808,1.8204,0.020112,1,-1.51843644923507,1
102,1.2808,1.8204,0.020112,1,-1.51843644923507,1
103,1.2808,1.8204,0.020112,1,-1.51843644923507,1
104,1.2808,1.8204,0.020112,1,-1.51843644923507,1
105,1.2808,1.8204,0.020112,1,-1.51843644923507,1
106,1.2808,1.8204,0.020112,1,-1.51843644923507,1
107,1.2808,1.8204,0.020112,1,-1.51843644923507,1
108,1.2808,1.8204,0.020112,1,-1.51843644923507,1
109,1.2808,1.8204,0.020112,1,-1.51843644923507,1
110,1.2808,1.8204,0.020112,1,-1.51843644923507,1
111,1.2808,1.8204,0.020112,1,-1.51843644923507,1
112,1.2808,1.8204,0.020112,1,-1.51843644923507,1
113,1.2808,1.8204,0.020112,1,-1.51843644923507,1
114,1.2808,1.8204,0.020112,1,-1.51843644923507,1
115,1.2808,1.8204,0.020112,1,-1.51843644923507,1
116,-1.268,1.7456,2.4069,100,-1.41371669411541,1
117,-1.268,1.7456,2.4069,100,-1.41371669411541,1
118,-1.268,1.7456,2.4069,100,-1.41371669411541,1
119,-1.268,1.7456,2.4069,100,-1.41371669411541,1
120,-1.268,1.7456,2.4069,100,-1.41371669411541,1
